"conf	repacc	prova	specie	comprensorio	sex	age	prelievo	riserva	altitudine	statoc	sintomi	numcamp	identif	esito	esito2	esito3	finalita	mp	pr	comune	localita	anno	mese	dtprel"
"96288	Sede Territoriale di Sondrio	Brucella spp.: agente eziologico	CERVO	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	SO	Dazio	NULL	2017	4	2017-04-04 00:00:00.000"
"120338	Sede Territoriale di Sondrio	Brucella spp.: agente eziologico	CAPRIOLO	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	SO	Livigno	NULL	2017	4	2017-04-26 00:00:00.000"
"189743	Sede Territoriale di Pavia	Brucella spp.: agente eziologico	CINGHIALE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	PV	Val di Nizza	NULL	2017	7	2017-07-07 00:00:00.000"
"196270	Sede Territoriale di Pavia	Brucella spp.: agente eziologico	CINGHIALE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	9607	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	PV	Mornico Losana	loc. Losanna	2017	7	2017-07-18 00:00:00.000"
"304546	Sede Territoriale di Bergamo	Brucella spp.: agente eziologico	CAMOSCIO	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	BG	Isola di Fondra	Segaboli	2017	11	2017-11-04 00:00:00.000"
"47680	Sede Territoriale di Sondrio	Brucella spp.: agente eziologico	STAMBECCO	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	SO	Livigno	Loc. Lago	2018	2	2018-02-19 00:00:00.000"
"172350	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 2: > 25 mesi \ > 2 anni	da piani di abbattimento - abbattuto	Z.R.C.	NULL	Fresco	NULL	2	testa	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA	2018	6	2018-06-22 00:00:00.000"
"175198	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	F	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	3	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Torricella del Pizzo	LANCA GEROLE	2018	6	2018-06-26 00:00:00.000"
"175216	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 0: 0-12 mesi \ 0-1 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	3	TESTA	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Torricella del Pizzo	LANCA GEROLE	2018	6	2018-06-26 00:00:00.000"
"175232	Sede Territoriale di Cremona	Brucella spp.: agente eziologico	CINGHIALE	NULL	M	Cl 1: 13-24 mesi \ 1-2 anni	da piani di abbattimento - abbattuto	NULL	NULL	Fresco	NULL	2	LINFONODI SOTTOMANDIBOLARI	N	Non rilevata	NULL	Monitoraggio fauna selvatica Lombardia	MP 01/163 rev. 2	CR	Gussola	ISOLA MARIA LUIGIA-AZ.PALAZZO	2018	6	2018-06-26 00:00:00.000"
